worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,doc_index,doc_id,doc_statement,doc_explanation,doc_label,doc_truthfulness-1_value,doc_truthfulness-1_label,doc_truthfulness-1_index,doc_truthfulness-1_description,doc_explanation-quality_value,doc_truthfulness-2_value,doc_truthfulness-2_label,doc_truthfulness-2_index,doc_truthfulness-2_description,doc_truthfulness-2_justification,doc_truthfulness-2_url,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_outcome,global_form_validity,gold_checks,time_spent_check,time_check_amount
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,Next,"Wed, 11 Jan 2023 13:30:06 GMT",2023-01-11 13:30:06 00:00,0.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.","The author first states the claim that Vampire Academy grossed $15.4 million worldwide. Then, they provide evidence to support this claim by stating that the film was a failure critically and financially. However, they also state that the film grossed only $15.4 million worldwide against a $30 million budget. Based on the information provided, it seems that the claim is false.",SUPPORTS,4,mostly-true,4.0,,79.0,3,half-true,3.0,,The worldwide income was the half declared in the statement,https://www.the-numbers.com/movie/Vampire-Academy,1.0,299.73,1673443507.0,1673443806.73,True,True,True,True,True
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,Next,"Wed, 11 Jan 2023 13:35:34 GMT",2023-01-11 13:35:34 00:00,1.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,3,half-true,3.0,,52.0,2,barely-true,2.0,,The web research had confirmed the statement,https://en.m.wikipedia.org/wiki/Lalla_Ward,1.0,327.28,1673443806.73,1673444134.02,True,True,True,True,True
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,Finish,"Wed, 11 Jan 2023 13:38:49 GMT",2023-01-11 13:38:49 00:00,2.0,47357,Margaret Thatcher implemented policies.,"""The relevant information about the claim is lacking in the context.""",SUPPORTS,3,half-true,3.0,,31.0,5,true,5.0,,Thatcher was able to implement policies,https://www.economicshelp.org/blog/glossary/thatcher-economic-policies/,1.0,194.68,1673444134.02,1673444328.7,True,True,True,True,True
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,Next,"Wed, 11 Jan 2023 08:28:35 GMT",2023-01-11 08:28:35 00:00,0.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,1,false,1.0,,100.0,0,lie,0.0,,"Da Wikipedia si legge che Lalla Ward Ã¨ stata attrice, doppiatrice e autrice",https://en.wikipedia.org/wiki/Lalla_Ward,1.0,94.97,1673425621.0,1673425715.97,True,True,True,True,True
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,Next,"Wed, 11 Jan 2023 08:30:24 GMT",2023-01-11 08:30:24 00:00,1.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.",The film grossed $ 15.4 million worldwide.,SUPPORTS,5,true,5.0,,45.0,2,barely-true,2.0,,"Diversi numeri da diverse fonti, da 7 milioni a 15 milioni",https://bombreport.com/yearly-breakdowns/2014-2/vampire-academy/,1.0,108.93,1673425715.97,1673425824.9,True,True,True,True,True
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,Finish,"Wed, 11 Jan 2023 08:31:33 GMT",2023-01-11 08:31:33 00:00,2.0,47357,Margaret Thatcher implemented policies.,"The claim is that Margaret Thatcher implemented policies. The evidence states that she was Prime Minister and that she implemented policies known as Thatcherism. So, the answer to the question is true.",SUPPORTS,5,true,5.0,,91.0,5,true,5.0,,Il link segnato conferma lo statement,https://www.tutor2u.net/politics/reference/margaret-thatcher-key-policies,1.0,68.31,1673425824.9,1673425893.21,True,True,True,True,True
HIOF5FD2FK3W9F,True,SC_task1,SC_batch1,unit_5,1,1,Next,"Wed, 11 Jan 2023 08:21:15 GMT",2023-01-11 08:21:15 00:00,0.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.","The author first states the claim that Vampire Academy grossed $15.4 million worldwide. Then, they provide evidence to support this claim by stating that the film was a failure critically and financially. However, they also state that the film grossed only $15.4 million worldwide against a $30 million budget. Based on the information provided, it seems that the claim is false.",SUPPORTS,5,true,5.0,,74.0,5,true,5.0,,"It was a commercial failure, grossing only $15.4 million worldwide against a $30 million budget",https://en.m.wikipedia.org/wiki/Vampire_Academy_(film),1.0,120.26,1673425155.0,1673425275.26,True,True,True,True,True
HIOF5FD2FK3W9F,True,SC_task1,SC_batch1,unit_5,1,1,Next,"Wed, 11 Jan 2023 08:23:40 GMT",2023-01-11 08:23:40 00:00,1.0,171067,Lalla Ward has only ever been an author.,Lalla Ward has been an actress and an author.,REFUTES,0,lie,0.0,,100.0,0,lie,0.0,,"Sarah Jill ""Lalla"" Ward[1] (born 28 June 1951)[2] is an English actress, voice artist and author",https://en.m.wikipedia.org/wiki/Lalla_Ward,1.0,145.61,1673425275.26,1673425420.87,True,True,True,True,True
HIOF5FD2FK3W9F,True,SC_task1,SC_batch1,unit_5,1,1,Finish,"Wed, 11 Jan 2023 08:24:34 GMT",2023-01-11 08:24:34 00:00,2.0,47357,Margaret Thatcher implemented policies.,"The claim is that Margaret Thatcher implemented policies. The evidence states that she was Prime Minister and that she implemented policies known as Thatcherism. So, the answer to the question is true.",SUPPORTS,5,true,5.0,,40.0,5,true,5.0,,"Margaret Thatcher led a government that set out to take a sledgehammer to the post-war consensus and therefore drove through a large number of radical policy proposals, helped by healthy parliamentary majorities.",https://www.tutor2u.net/politics/reference/margaret-thatcher-key-policies,1.0,53.05,1673425420.87,1673425473.91,True,True,True,True,True
IMDORB1186UKOF,True,SC_task1,SC_batch1,unit_3,1,1,Next,"Tue, 10 Jan 2023 22:35:44 GMT",2023-01-10 22:35:44 00:00,0.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.",The film grossed $ 15.4 million worldwide.,SUPPORTS,5,true,5.0,,85.0,5,true,5.0,,The statement agrees with the information available online,https://en.wikipedia.org/wiki/Vampire_Academy,1.0,210.18,1673389934.0,1673390144.18,True,True,True,True,True
IMDORB1186UKOF,True,SC_task1,SC_batch1,unit_3,1,1,Next,"Tue, 10 Jan 2023 22:39:38 GMT",2023-01-10 22:39:38 00:00,1.0,47357,Margaret Thatcher implemented policies.,"The claim is that Margaret Thatcher implemented policies. The evidence states that she was Prime Minister and that she implemented policies known as Thatcherism. So, the answer to the question is true.",SUPPORTS,5,true,5.0,,85.0,5,true,5.0,,The statement is vague enough to be true,https://www.tutor2u.net/politics/reference/margaret-thatcher-key-policies,1.0,234.52,1673390144.18,1673390378.7,True,True,True,True,True
IMDORB1186UKOF,True,SC_task1,SC_batch1,unit_3,1,1,Back,"Tue, 10 Jan 2023 22:40:39 GMT",2023-01-10 22:40:39 00:00,2.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,1,false,1.0,,85.0,1,false,1.0,,,https://en.wikipedia.org/wiki/Lalla_Ward,1.0,60.31,1673390378.7,1673390439.0,True,True,True,True,True
IMDORB1186UKOF,True,SC_task1,SC_batch1,unit_3,1,1,Next,"Tue, 10 Jan 2023 22:40:41 GMT",2023-01-10 22:40:41 00:00,1.0,47357,Margaret Thatcher implemented policies.,"The claim is that Margaret Thatcher implemented policies. The evidence states that she was Prime Minister and that she implemented policies known as Thatcherism. So, the answer to the question is true.",SUPPORTS,5,true,5.0,,85.0,5,true,5.0,,The statement is vague enough to be true,https://www.tutor2u.net/politics/reference/margaret-thatcher-key-policies,2.0,237.51,1673390144.18,1673390378.7,True,True,True,True,True
IMDORB1186UKOF,True,SC_task1,SC_batch1,unit_3,1,1,Finish,"Tue, 10 Jan 2023 22:41:06 GMT",2023-01-10 22:41:06 00:00,2.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,1,false,1.0,,85.0,1,false,1.0,,The statement provides incomplete information in a deceaving way,https://en.wikipedia.org/wiki/Lalla_Ward,2.0,84.86,1673390378.7,1673390439.0,True,True,True,True,True
KFNXJP7XVSCPRX,True,SC_task1,SC_batch1,unit_10,1,1,Next,"Thu, 12 Jan 2023 15:34:19 GMT",2023-01-12 15:34:19 00:00,0.0,47357,Margaret Thatcher implemented policies.,"""The relevant information about the claim is lacking in the context.""",SUPPORTS,1,false,1.0,,5.0,5,true,5.0,,Margaret Thatcher was Prime Minister of the United Kingdom,https://en.wikipedia.org/wiki/Margaret_Thatcher,1.0,128.48,1673537531.0,1673537659.48,True,True,True,True,True
KFNXJP7XVSCPRX,True,SC_task1,SC_batch1,unit_10,1,1,Next,"Thu, 12 Jan 2023 15:35:49 GMT",2023-01-12 15:35:49 00:00,1.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,0,lie,0.0,,50.0,0,lie,0.0,,"Lalla Ward is an English actress, voice artist and author",https://en.wikipedia.org/wiki/Lalla_Ward,1.0,90.03,1673537659.48,1673537749.52,True,True,True,True,True
KFNXJP7XVSCPRX,True,SC_task1,SC_batch1,unit_10,1,1,Finish,"Thu, 12 Jan 2023 15:38:02 GMT",2023-01-12 15:38:02 00:00,2.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.","The author first states the claim that Vampire Academy grossed $15.4 million worldwide. Then, they provide evidence to support this claim by stating that the film was a failure critically and financially. However, they also state that the film grossed only $15.4 million worldwide against a $30 million budget. Based on the information provided, it seems that the claim is false.",SUPPORTS,4,mostly-true,4.0,,85.0,5,true,5.0,,Vampire Academy cost $30 million to make but only made $15 million in ticket sales,https://www.digitalspy.com/movies/a41092351/vampire-academy-cancelled-why/,1.0,132.35,1673537749.52,1673537881.87,True,True,True,True,True
NMXJ0KIWOLKHNV,True,SC_task1,SC_batch1,unit_9,1,1,Next,"Thu, 12 Jan 2023 13:24:40 GMT",2023-01-12 13:24:40 00:00,0.0,47357,Margaret Thatcher implemented policies.,"The claim is that Margaret Thatcher implemented policies. The evidence states that she was Prime Minister and that she implemented policies known as Thatcherism. So, the answer to the question is true.",SUPPORTS,4,mostly-true,4.0,,87.0,5,true,5.0,,âThatcher's government initiated a controversial policyâ,https://en.m.wikipedia.org/wiki/Thatcherism,1.0,110.02,1673529770.0,1673529880.02,True,True,True,True,True
NMXJ0KIWOLKHNV,True,SC_task1,SC_batch1,unit_9,1,1,Next,"Thu, 12 Jan 2023 13:26:17 GMT",2023-01-12 13:26:17 00:00,1.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.",The film grossed $ 15.4 million worldwide.,SUPPORTS,4,mostly-true,4.0,,100.0,2,barely-true,2.0,,"The selected page says âOpening $3,921,742 â",https://www.boxofficemojo.com/release/rl293176833/,1.0,97.14,1673529880.02,1673529977.16,True,True,True,True,True
NMXJ0KIWOLKHNV,True,SC_task1,SC_batch1,unit_9,1,1,Finish,"Thu, 12 Jan 2023 13:28:05 GMT",2023-01-12 13:28:05 00:00,2.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,1,false,1.0,,90.0,0,lie,0.0,,She was also an actress. âLalla Ward is a successful British actressâ,https://www.thefamouspeople.com/profiles/lalla-ward-45834.php,1.0,107.84,1673529977.16,1673530085.0,True,True,True,True,True
B2PU87OELNL97V,True,SC_task1,SC_batch1,unit_1,1,1,Next,"Thu, 12 Jan 2023 21:32:33 GMT",2023-01-12 21:32:33 00:00,0.0,47357,Margaret Thatcher implemented policies.,"""The relevant information about the claim is lacking in the context.""",SUPPORTS,0,lie,0.0,,1.0,4,mostly-true,4.0,,"The statement is ambiguos. She implemented policies, of course, but it doesn't specify which and when. So the statement is lacking in the context",https://www.economicshelp.org/blog/glossary/thatcher-economic-policies/,1.0,297.97,1673558856.0,1673559153.97,True,True,True,True,True
B2PU87OELNL97V,True,SC_task1,SC_batch1,unit_1,1,1,Next,"Thu, 12 Jan 2023 21:36:23 GMT",2023-01-12 21:36:23 00:00,1.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,2,barely-true,2.0,,50.0,0,lie,0.0,,"The claim is that  Lalla Ward was only an author. The evidence sais that she was not only an author, but she was also an actress and a voice actress. So, the claim is false",https://en.wikipedia.org/wiki/Lalla_Ward,1.0,229.19,1673559153.97,1673559383.16,True,True,True,True,True
B2PU87OELNL97V,True,SC_task1,SC_batch1,unit_1,1,1,Finish,"Thu, 12 Jan 2023 21:48:17 GMT",2023-01-12 21:48:17 00:00,2.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.","The author first states the claim that Vampire Academy grossed $15.4 million worldwide. Then, they provide evidence to support this claim by stating that the film was a failure critically and financially. However, they also state that the film grossed only $15.4 million worldwide against a $30 million budget. Based on the information provided, it seems that the claim is false.",SUPPORTS,2,barely-true,2.0,,15.0,5,true,5.0,,The claim is that Vampire Academy grossed $15.4 Milions worldwide. The evidence is that the film effectively grossed that ammount of $. So the claim is true,https://movieplayer.it/film/vampire-academy-blood-sisters_36580/info/,1.0,713.2,1673559383.16,1673560096.36,True,True,True,True,True
RBG8K61JCTLLQD,True,SC_task1,SC_batch1,unit_0,1,1,Next,"Tue, 10 Jan 2023 22:09:17 GMT",2023-01-10 22:09:17 00:00,0.0,47357,Margaret Thatcher implemented policies.,"The claim is that Margaret Thatcher implemented policies. The evidence states that she was Prime Minister and that she implemented policies known as Thatcherism. So, the answer to the question is true.",SUPPORTS,4,mostly-true,4.0,,81.0,5,true,5.0,,The selected result says: Margaret Thatcher led a government that [...] drove through a large number of radical policy proposals,https://www.tutor2u.net/politics/reference/margaret-thatcher-key-policies,1.0,102.53,1673388455.0,1673388557.53,True,True,True,True,True
RBG8K61JCTLLQD,True,SC_task1,SC_batch1,unit_0,1,1,Next,"Tue, 10 Jan 2023 22:10:02 GMT",2023-01-10 22:10:02 00:00,1.0,171067,Lalla Ward has only ever been an author.,"The claim is that Lalla Ward has only ever been an author. The evidence is that Lalla Ward is an English actress and author. So, the claim is false.",REFUTES,1,false,1.0,,86.0,0,lie,0.0,,"Wikipedia article: Sarah Jill ""Lalla"" Ward (born 28 June 1951) is an English actress, voice artist and author.",https://en.wikipedia.org/wiki/Lalla_Ward,1.0,45.09,1673388557.53,1673388602.62,True,True,True,True,True
RBG8K61JCTLLQD,True,SC_task1,SC_batch1,unit_0,1,1,Finish,"Tue, 10 Jan 2023 22:11:55 GMT",2023-01-10 22:11:55 00:00,2.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.",The film grossed $ 15.4 million worldwide.,SUPPORTS,4,mostly-true,4.0,,18.0,5,true,5.0,,"Wikipedia article: It was a commercial failure, grossing only $15.4 million worldwide",https://en.wikipedia.org/wiki/Vampire_Academy_(film),1.0,112.19,1673388602.62,1673388714.81,True,True,True,True,True
TWNMYWGHKNZTW0,True,SC_task1,SC_batch1,unit_11,1,1,Next,"Thu, 12 Jan 2023 18:20:02 GMT",2023-01-12 18:20:02 00:00,0.0,224557,"Vampire Academy, worldwide, grossed $15.4 million.","The author first states the claim that Vampire Academy grossed $15.4 million worldwide. Then, they provide evidence to support this claim by stating that the film was a failure critically and financially. However, they also state that the film grossed only $15.4 million worldwide against a $30 million budget. Based on the information provided, it seems that the claim is false.",SUPPORTS,3,half-true,3.0,,80.0,5,true,5.0,,Wikipedia Ã¨ una fonte attendibile e controllata,https://en.wikipedia.org/wiki/Vampire_Academy_(film),1.0,110.23,1673547492.0,1673547602.23,True,True,True,True,True
